"Carimbo de data/hora","Qual a sua idade?","Quantos anos de experiência você tem jogando jogos eletrônicos?","Em qual estado você mora?","O jogo apresentou objetivos claros e compreensiveis?","Você encontrou algum bug ou comportamento inesperado durante a jogabilidade?","A estrutura geral do nível parecia jogável e coerente com a proposta do jogo?","Você sentiu que conseguiu completar os desafios com as habilidades fornecidas?","A difículdade do jogo se ajustou ao seu estilo de jogo?","Você sentiu que o nível de dificuldade progrediu no decorrer dos níveis?","As fases geradas ofereceram desafios compatíveis com sua experiência como jogador(a)?","O jogo incentivou você a mudar sua estratégia ao longo da partida?","Os elementos do jogo (mapa, inimigos, obstáculos) mudaram de forma perceptível a cada nova tentativa?","A variação entre as fases te motivou a continuar jogando?","Algum nível gerado te pareceu repetitiva ou previsível?","O quão divertido foi jogar este jogo?","Comente algo que você gostou ou não gostou sobre a geração procedural do jogo (em que foram geradas as salas, mapa da dungeon e inimigos).",""
"2025/06/30 6:38:24 PM GMT-3","23","4 ou mais","Paraná","4","3","5","5","3","5","4","4","4","5","3","4","Algumas salas são repetidas.","4"
"2025/07/01 3:35:52 PM GMT-3","29","4 ou mais","paraná","5","5","3","3","1","3","2","1","2","1","5","2","Os mapas que geram mais de três salas não oferecem recompensa alguma. Antes de o jogador escolher a próxima sala, ele deveria saber para onde vai, assim como no jogo Hades, onde o símbolo na porta indica o destino. A premissa é boa, mas alguns monstros são considerados mortos simplesmente por pararem de andar.",""
"2025/07/01 4:09:51 PM GMT-3","26","4 ou mais","PR","2","5","2","5","3","3","2","1","2","1","5","2","",""
"2025/07/01 4:09:56 PM GMT-3","30","3 anos","Paraná","5","1","5","5","5","5","5","4","5","5","1","5","",""
"2025/07/01 4:13:01 PM GMT-3","40","nenhuma experiência","Parana","3","2","3","4","3","4","3","2","3","3","4","4","faltou gerar a pontuação em cada etapa vencida.. ",""
"2025/07/01 4:17:20 PM GMT-3","30","4 ou mais","PR","5","5","5","5","5","5","5","1","3","1","1","2","",""
"2025/07/01 4:21:22 PM GMT-3","34","4 ou mais","Bragança - Portugal","5","5","4","5","5","5","5","1","5","1","5","3","Foi claramente perceptivel o ajuste de dificuldade após cada vez emq ue o personagem morria",""
"2025/07/01 5:00:39 PM GMT-3","28","4 ou mais","Rondônia","5","1","3","3","5","4","4","2","5","3","2","4","",""
"2025/07/01 6:57:05 PM GMT-3","20","4 ou mais","RS","5","2","5","5","5","5","4","2","5","4","2","4","",""
"2025/07/01 10:59:57 PM GMT-3","35","4 ou mais","parana","4","2","5","4","3","4","5","4","5","5","4","4","Eu só entendi que se continuasse jogando apareceria novas fases (depois de ter morrido) depois que vim responder o formulário e aí voltei la jogar mais um pouco, acho que faltou informações das fases ou progresso do jogo",""
"2025/07/02 8:42:13 PM GMT-3","37","4 ou mais","Paraná","5","3","5","4","5","4","4","5","5","5","2","5","As portas que levava a salas que tinha que derrotar os inimigos e voltar para a sala anterior foi um toque legal, os inimigos mais rapidos agitou o jogo, os cenários com obstaculos diferente e os inimigos com ataques diferentes levaram a bolar estratégia para atacar e se defender.",""
"2025/07/03 3:35:39 PM GMT-3","18","4 ou mais","Paraná","5","1","5","5","5","5","5","5","5","5","5","5","",""
"2025/07/03 8:15:25 PM GMT-3","17","4 ou mais","Paraná","5","5","5","5","3","4","3","5","3","3","5","4","",""
"2025/07/03 10:28:21 PM GMT-3","19","4 ou mais","Paraná","5","3","4","4","2","3","2","2","3","3","4","4","",""
"2025/07/03 10:50:14 PM GMT-3","31","4 ou mais","São Paulo","5","1","5","3","2","5","4","4","4","2","4","1","",""
"2025/07/04 2:10:26 PM GMT-3","19","4 ou mais","Paraná","5","4","5","5","5","4","4","3","4","5","4","4","",""